,MRP,Processor,RAM_size,bit,SSD_Storage,OS,RAM_Type,Display
0,36990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
1,39990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
2,32990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
3,49990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 10,DDR4,39.62
4,49990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
5,36990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
6,38990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
7,39990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
8,46990,Intel Core i3 Processor,8,64,256 GB ,Windows 10,DDR4,35.56
9,44990,AMD Ryzen 7 Quad Core Processor,16,64,512 GB ,Windows 11,DDR4,35.56
10,59990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
11,38705,AMD Ryzen 5 Quad Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
12,32990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
13,52990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
14,29990,Intel Core i3 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
15,196990,AMD Ryzen 9 Octa Core Processor,16,64,1 TB ,Windows 11,DDR5,39.62
16,47990,Intel Core i5 Processor,8,64,256 GB ,Windows 11,DDR4,39.62
17,45990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
18,47990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
19,85990,AMD Ryzen 7 Octa Core Processor,16,64,1 TB ,Windows 11,DDR4,39.62
20,88990,Apple M1 Processor,8,64,256 GB ,Windows 11,DDR4,35.56
21,40990,Intel Core i3 Processor,8,64,512 GB ,Windows 11,DDR4,35.56
22,19490,Intel Celeron Dual Core Processor,4,64,256 GB ,Windows 11,DDR4,39.62
23,35590,AMD Ryzen 3 Dual Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
24,65990,Intel Core i5 Processor,8,64,512 GB ,Windows 11,DDR4,39.62
28,58990,Intel Core i5 Processor,16,64,512 GB ,Windows 11,DDR4,39.62
32,24990,AMD Ryzen 3 Dual Core Processor,8,64,256 GB ,Windows 11,DDR4,39.62
33,47990,AMD Ryzen 5 Hexa Core Processor,8,64,512 GB ,Windows 11,DDR4,39.62
